,JTXX_ID,ZXSZK,JKZK,CJDJ,CJLB,LDJN,SFSW,SFZP
38829,2748,0.0,2,0,0.0,5,1,0
38828,2748,0.0,2,0,0.0,5,1,0
38833,2748,10.0,1,0,0.0,5,1,0
38835,2749,0.0,4,2,5.0,4,1,0
38834,2749,0.0,4,2,1.0,3,1,0
38836,2750,0.0,4,3,1.0,5,1,0
38840,2751,0.0,2,0,0.0,3,1,0
38839,2751,0.0,2,0,0.0,3,1,0
38837,2751,0.0,4,3,1.0,4,1,0
38842,2752,0.0,1,0,0.0,3,1,0
38841,2752,0.0,2,0,0.0,5,1,0
38843,2753,0.0,4,1,2.0,3,1,0
37819,2753,0.0,2,0,0.0,5,1,0
37911,2754,0.0,1,0,0.0,3,1,0
48218,2754,0.0,4,1,7.0,4,1,0
48219,2755,0.0,4,4,1.0,3,1,0
48223,2755,0.0,1,0,0.0,2,1,0
48220,2755,0.0,1,0,0.0,2,1,0
42501,2756,0.0,4,1,7.0,4,1,0
42502,2756,3.0,1,0,0.0,5,1,0
48225,2756,0.0,2,0,0.0,3,1,0
48224,2756,0.0,1,0,0.0,2,1,0
42503,2756,0.0,1,0,0.0,2,1,0
42504,2757,0.0,4,1,7.0,3,1,0
42506,2758,0.0,2,0,0.0,3,1,0
42505,2758,0.0,2,0,0.0,3,1,0
42509,2759,0.0,4,2,5.0,5,1,0
42507,2759,0.0,4,2,5.0,3,1,0
42510,2759,0.0,3,0,0.0,5,1,0
42511,2760,0.0,2,0,0.0,3,1,0
42512,2760,0.0,1,0,0.0,2,1,0
42514,2761,0.0,4,2,5.0,3,1,0
42516,2761,0.0,1,0,0.0,2,1,0
42518,2761,3.0,1,0,0.0,5,1,0
42517,2761,8.0,1,0,0.0,5,1,0
42513,2761,0.0,4,4,4.0,3,1,0
42515,2761,0.0,4,4,1.0,3,1,0
42521,2762,0.0,1,0,0.0,2,1,0
42520,2762,0.0,4,2,3.0,4,1,0
42523,2763,0.0,1,0,0.0,2,1,0
42522,2763,0.0,4,3,1.0,5,1,0
42525,2764,3.0,4,2,3.0,5,1,0
42524,2764,0.0,4,2,3.0,4,1,0
52123,2764,0.0,4,0,0.0,0,1,0
42526,2765,0.0,4,2,5.0,3,1,0
42535,2766,3.0,1,0,0.0,5,1,0
42534,2766,3.0,1,0,0.0,5,1,0
42532,2766,0.0,2,0,0.0,3,1,0
42531,2766,0.0,1,0,0.0,2,1,0
42529,2766,0.0,1,0,0.0,2,1,0
42528,2766,0.0,2,0,0.0,3,1,0
42527,2766,0.0,2,0,0.0,3,1,0
42533,2766,0.0,1,0,0.0,2,1,0
42536,2767,0.0,4,4,4.0,3,1,0
43055,2767,0.0,4,3,5.0,5,1,0
43056,2768,0.0,4,2,3.0,5,1,0
43057,2769,0.0,4,3,4.0,5,1,0
43058,2770,0.0,1,0,0.0,3,1,0
43062,2771,24.0,1,0,0.0,2,1,0
43061,2771,0.0,1,0,0.0,2,1,0
43060,2771,0.0,4,4,2.0,3,1,0
45400,2772,0.0,4,3,2.0,4,1,0
45401,2772,0.0,1,0,0.0,1,1,0
45399,2772,0.0,1,0,0.0,2,1,0
45403,2773,0.0,4,3,3.0,3,1,0
45404,2773,5.0,4,1,7.0,5,1,0
45402,2773,0.0,1,0,0.0,3,1,0
45407,2774,0.0,1,0,0.0,2,1,0
45405,2774,0.0,2,0,0.0,3,1,0
45408,2775,0.0,1,0,0.0,3,1,0
45409,2776,0.0,4,2,2.0,3,1,0
45411,2776,0.0,4,2,3.0,4,1,0
45410,2776,0.0,1,0,0.0,3,1,0
45412,2777,0.0,2,0,0.0,3,1,0
45414,2777,0.0,1,0,0.0,2,1,0
45413,2777,0.0,4,3,4.0,4,1,0
45415,2778,0.0,2,0,0.0,4,1,0
45416,2778,0.0,1,0,0.0,2,1,0
45420,2778,6.0,1,0,0.0,5,1,0
45418,2778,0.0,1,0,0.0,2,1,0
45419,2778,0.0,1,0,0.0,2,1,0
45421,2779,0.0,2,0,0.0,3,1,0
45422,2780,0.0,4,1,7.0,4,1,0
45963,2781,0.0,2,0,0.0,4,1,0
45423,2781,0.0,2,0,0.0,3,1,0
45964,2782,0.0,2,0,0.0,3,1,0
45965,2783,0.0,2,0,0.0,4,1,1
45966,2784,0.0,2,0,0.0,3,1,0
45968,2785,0.0,4,4,1.0,3,1,0
45969,2786,0.0,1,0,0.0,3,1,0
